Job Name,Company Name,Job Type,Experience Required,Department,JD,City,Date Posted,Min Experience,Max Experience,Experience Category,Search Text,Extracted Skills
"Full Time New Job Positions .Net, .Netcore, Flutter, Tea Boy Jobs in Pakistan","Nayel Solutions, Pakistan",Full Time Jobs,2 Years Job Exp.,IT Jobs,"New Job Positions .net, .netcore, flutter, Tea boy in Nayel Solutions3 Positions for .net \ .netcore Developer programming language c#2 Positions for Flutter dart Developer1 Position for Tea boy",Islamabad,2021-03-12,2,2,Experienced,"Full Time New Job Positions .Net, .Netcore, Flutter, Tea Boy Jobs in Pakistan New Job Positions .net, .netcore, flutter, Tea boy in Nayel Solutions3 Positions for .net \ .netcore Developer programming language c#2 Positions for Flutter dart Developer1 Position for Tea boy","['C#', '.NET', '.Netcore', 'Flutter']"
Full Time Senior Web Developer Jobs in Pakistan,"Eurosoft Tech Private Limited, Pakistan",Full Time Jobs,2 Years Job Exp.,IT Jobs,"We are looking for an experienced Web Developer.Responsible for creating the design and layout of a website or web pagesKnowledge Of Front End Technologies Including CSS3, JavaScript, HTML5, And jQuery.Familiarity With Word Press Development and E-Co",Karachi,2021-03-12,2,2,Experienced,"Full Time Senior Web Developer Jobs in Pakistan We are looking for an experienced Web Developer.Responsible for creating the design and layout of a website or web pagesKnowledge Of Front End Technologies Including CSS3, JavaScript, HTML5, And jQuery.Familiarity With Word Press Development and E-Co","['JavaScript', 'jQuery', 'Word']"
Full Time Russian Speakers Jobs in Pakistan,"ICM JAPAN, Pakistan",Full Time Jobs,< 1 Year,Customer Service Jobs,International clients dealing exposure (B2B).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing customers.Sal,Karachi,2021-03-12,0,1,Entry Level,Full Time Russian Speakers Jobs in Pakistan International clients dealing exposure (B2B).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing customers.Sal,[]
Full Time Customer Support Specialist - International Jobs in Pakistan,"ibex, Pakistan",Full Time Jobs,Job for Fresh Graduates,Customer Service Jobs,"Responsible for acting as a liaison between our customer and the respective client. Provides assistance to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query.Location: Karachi, Lahore &",Islamabad,2021-03-09,0,0,Fresh Graduate,"Full Time Customer Support Specialist - International Jobs in Pakistan Responsible for acting as a liaison between our customer and the respective client. Provides assistance to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query.Location: Karachi, Lahore &",['Customer Support']
Full Time English Speaker - International Business Development Executive - BDE Job in Pakistan,"ICM JAPAN, Pakistan",Full Time Job,< 1 Year,Customer Service Job,International clients dealing exposure (B2B) and (B2C).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing cus,Karachi,2021-03-05,0,1,Entry Level,Full Time English Speaker - International Business Development Executive - BDE Job in Pakistan International clients dealing exposure (B2B) and (B2C).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing cus,['Business Development']
Full Time Socks Operation Manager And Socks Inspector - Textiles Job in Pakistan,"Uni Hosiery Co. Inc., Pakistan",Full Time Job,5 Years Job Exp.,Production Job,"NOTE: Apply By Sending Your CV/Resume to: hrdpk @ unihosiery.comCandidates with less than 5 years experience will not be considered for this position.
A US based national-leading hosiery importer is seeking for candidates who can join us as &#39; Soc",Faisalabad,2021-03-05,5,5,Experienced,"Full Time Socks Operation Manager And Socks Inspector - Textiles Job in Pakistan NOTE: Apply By Sending Your CV/Resume to: hrdpk @ unihosiery.comCandidates with less than 5 years experience will not be considered for this position.
A US based national-leading hosiery importer is seeking for candidates who can join us as &#39; Soc",[]
Full Time Call Center - Lead Agent Jobs in Pakistan,"Pakistan Sweet Home AFP, Pakistan",Full Time Jobs,3 Years Job Exp.,Sales Jobs,"Each Lead Agent is responsible for generating a sales lead of Rs 100,000 (minimum). The agent has to establish his potential clientele database and keep follow up regularly.Job ResponsibilitiesMaking outbound phone calls to our donors, members and pr",Islamabad,2021-02-22,3,3,Experienced,"Full Time Call Center - Lead Agent Jobs in Pakistan Each Lead Agent is responsible for generating a sales lead of Rs 100,000 (minimum). The agent has to establish his potential clientele database and keep follow up regularly.Job ResponsibilitiesMaking outbound phone calls to our donors, members and pr",['Sales']
Full Time Manager Accounts & Taxation (CA) Jobs in Pakistan,"Mercantile Enterprises Pvt Ltd, Pakistan",Full Time Jobs,4 Years Job Exp.,Publishing Jobs,"We at Mercantile Enterprises (Pvt) Ltd is looking for an experienced Manager Accounts &amp; TaxationTo prepare final accounts as per accounting standards, ensuring compliance with statutory and company requirements;To establish, maintain, monitor, co",Lahore,2021-02-19,4,4,Experienced,"Full Time Manager Accounts & Taxation (CA) Jobs in Pakistan We at Mercantile Enterprises (Pvt) Ltd is looking for an experienced Manager Accounts &amp; TaxationTo prepare final accounts as per accounting standards, ensuring compliance with statutory and company requirements;To establish, maintain, monitor, co",['Accounting']
"Online Full Time Remote Researcher, Content Creator, And Assistant Job in Pakistan","Confidential, Pakistan",Full Time Job,< 1 Year,Admin Job,"This job is a remote working opportunity. We are a small service company located in Texas. We specialize in piano tuning, moving, repair, and restoration.Job Benefits Ability to work from home with flexible scheduling, only 1-2 hours of fixed schedul",Faisalabad,2021-02-17,0,1,Entry Level,"Online Full Time Remote Researcher, Content Creator, And Assistant Job in Pakistan This job is a remote working opportunity. We are a small service company located in Texas. We specialize in piano tuning, moving, repair, and restoration.Job Benefits Ability to work from home with flexible scheduling, only 1-2 hours of fixed schedul",[]
Full Time Angularjs And .Net Core Developer Jobs in Pakistan,"Eurosoft Tech Private Limited, Pakistan",Full Time Jobs,7 Years Job Exp.,IT Jobs,"Command on following skillsAngularJS
NodeJs
Dot net core
C# MVC
jQuery
Restful API architecture
web socket
IIS configuration
Push Notification
Sql server 2019, Visual studio 2017minimum 7 years good work experience required.
Responsible for developme",Karachi,2021-02-16,7,7,Experienced,"Full Time Angularjs And .Net Core Developer Jobs in Pakistan Command on following skillsAngularJS
NodeJs
Dot net core
C# MVC
jQuery
Restful API architecture
web socket
IIS configuration
Push Notification
Sql server 2019, Visual studio 2017minimum 7 years good work experience required.
Responsible for developme","['C#', 'SQL', 'API', 'SQL Server', '.NET Core', '.NET', 'AngularJS', 'jQuery']"
Full Time Sr. Backend Developer Jobs in Pakistan,"Magnus Mage (Pvt.) Ltd., Pakistan",Full Time Jobs,1 Year Job Exp.,Computer Software Jobs,"We are looking for Backend Developers (NodeJS/GOlang) against permanent positions. Required expertise includes development of all server-side logic, definition and maintenance of the central database, while ensuring high performance.Experience:1+ yea",Lahore,2021-03-15,1,1,Experienced,"Full Time Sr. Backend Developer Jobs in Pakistan We are looking for Backend Developers (NodeJS/GOlang) against permanent positions. Required expertise includes development of all server-side logic, definition and maintenance of the central database, while ensuring high performance.Experience:1+ yea",[]
